type,table,name,type,len,comment,is-null,default
ADD,USEROPERATELOGV1,workspaceId,VARCHAR,50,所属工作空间
ADD,USEROPERATELOGV1,id,VARCHAR,50,id,1,''
ADD,USEROPERATELOGV1,createTimeMillis,BIGINT,,数据创建时间
ADD,USEROPERATELOGV1,modifyTimeMillis,BIGINT,,数据修改时间
ADD,USEROPERATELOGV1,modifyUser,VARCHAR,50,操作人
ADD,USEROPERATELOGV1,classFeature,VARCHAR,100,'操作的功能'
ADD,USEROPERATELOGV1,methodFeature,VARCHAR,100,操作的方法
ADD,USEROPERATELOGV1,reqTime,BIGINT,,请求时间
ALTER,USEROPERATELOGV1,nodeId,VARCHAR,50,节点ID
ALTER,USEROPERATELOGV1,dataId,VARCHAR,200,操作的数据ID
ALTER,USEROPERATELOGV1,ip,VARCHAR,80,客户端IP地址
ALTER,MONITORNOTIFYLOG,nodeId,VARCHAR,50,节点ID
ADD,MONITORNOTIFYLOG,workspaceId,VARCHAR,50,所属工作空间
ADD,MONITORNOTIFYLOG,id,VARCHAR,50,id,1,''
ADD,MONITORNOTIFYLOG,createTimeMillis,BIGINT,,数据创建时间
ADD,MONITORNOTIFYLOG,modifyTimeMillis,BIGINT,,数据修改时间
ADD,OUTGIVINGLOG,workspaceId,VARCHAR,50,所属工作空间
ADD,OUTGIVINGLOG,createTimeMillis,BIGINT,,数据创建时间
ADD,OUTGIVINGLOG,modifyTimeMillis,BIGINT,,数据修改时间
ADD,OUTGIVINGLOG,modifyUser,VARCHAR,50,操作人
ADD,SSHTERMINALEXECUTELOG,modifyUser,VARCHAR,50,操作人
ADD,BUILDHISTORYLOG,clearOld,TINYINT,,是否清空发布
ADD,BUILDHISTORYLOG,name,VARCHAR,100,构建名称
ADD,BUILDHISTORYLOG,releaseCommand,CLOB,,发布命令
ADD,BUILDHISTORYLOG,releasePath,VARCHAR,100,发布到的目录
ALTER,BUILDHISTORYLOG,releaseCommand,CLOB,,发布命令
ADD,BUILDHISTORYLOG,buildName,VARCHAR,100,构建名称
ADD,BUILDHISTORYLOG,createTimeMillis,BIGINT,,数据创建时间
ADD,BUILDHISTORYLOG,modifyTimeMillis,BIGINT,,数据修改时间
ADD,BUILDHISTORYLOG,modifyUser,VARCHAR,50,操作人
ADD,BUILDHISTORYLOG,triggerBuildType,int,,触发类型{0，手动，1 触发器 2 自动触发},,0
ADD,BUILDHISTORYLOG,workspaceId,VARCHAR,50,所属工作空间
ADD,BUILDHISTORYLOG,diffSync,TINYINT,,增量同步
ALTER,SSHTERMINALEXECUTELOG,commands,CLOB,,操作的命令
ALTER,SSHTERMINALEXECUTELOG,ip,VARCHAR,80,客户端IP地址
ADD,SSHTERMINALEXECUTELOG,createTimeMillis,BIGINT,,数据创建时间
ADD,SSHTERMINALEXECUTELOG,modifyTimeMillis,BIGINT,,数据修改时间
ADD,SSHTERMINALEXECUTELOG,workspaceId,VARCHAR,50,所属工作空间
ADD,SYSTEMMONITORLOG,networkTime,int,,延迟时间ms
ADD,BUILDHISTORYLOG,buildRemark,VARCHAR,255,构建备注
ADD,BUILDHISTORYLOG,extraData,CLOB,,额外信息，JSON 字符串格式
